UNIVERSE,ASSET CLASS,CATEGORY,SUB-CATEGORY,AMC,ETF,BENCHMARK INDEX,website_link,SYMBOL,BSE TICKER,ISIN CODE,LAUNCH DATE,AUM(Crores),EXPENSE RATIO,OVERALL TRACKING ERROR,OVERALL TRACKING DIFFERENCE,YEARS ACTIVE
NSE,EQUITY,STRATEGIC,Nifty Top 10,DSP Mutual Fund,DSP Nifty Top 10 Equal Weight ETF,Nifty Top 10 Equal Weight TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/Nifty-Top-10-Equal-Weight-ETF/dntte-direct-growth,TOP10ADD,544247,INF740KA1UR9,05-09-2024,783.24,0.14,0.04,-0.14,1.25
,COMMODITIES,GOLD,,DSP Mutual Fund,DSP Gold ETF,Domestic Price of Gold,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/gold-etf/dsgle-direct-growth,GOLDETFADD,543903,INF740KA1SW3,28-04-2023,1336.42,0.45,0.33,-1.34,2.62
,COMMODITIES,SILVER,,DSP Mutual Fund,DSP Silver ETF,Domestic Price of Physical Silver,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/silver-etf/dslvr-direct-growth,SILVERADD,543572,INF740KA1RE3,19-08-2022,1374.63,0.4,0.59,-1.61,3.31
,DEBT,LIQUID,,DSP Mutual Fund,DSP Nifty 1D Rate Liquid ETF,Nifty 1D Rate Index,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-1d-rate-liquid-etf/dsple-direct-daily-idcw,LIQUIDETF,541097,INF740KA1EU7,14-03-2018,361.19,0.3,0.34,-0.35,7.75
BSE,EQUITY,BROADER,BSE SENSEX Next 30,DSP Mutual Fund,DSP BSE SENSEX Next 30 ETF,BSE SENSEX Next 30 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/BSE-Sensex-Next-30-ETF/dssne-direct-growth,NEXT30ADD,544352,INF740KA1VE5,05-02-2025,39.92,0.16,0.1,-0.25,0.87
MSCI,EQUITY,MSCI,,DSP Mutual Fund,DSP MSCI India ETF,MSCI India Index TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/DSPMSCIIndiaETF/dmsci-direct-growth,MSCIADD,,INF740KA1WV7,25-11-2025,6.55,0.39,0.38,,0.05
,DEBT,LIQUID,,DSP Mutual Fund,DSP BSE Liquid Rate ETF,BSE Liquid Rate Index,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/bse-liquid-rate-etf/dsplr-direct-growth,LIQUIDADD,,INF740KA1UM0,27-03-2024,2025.26,0.3,0.34,-0.35,1.72
NSE,EQUITY,STRATEGIC,Nifty 500 Factor Indices,Edelweiss Mutual Fund,Edelweiss Nifty 500 Multicap MQ 50 ETF,Nifty 500 Multicap Momentum Quality 50 TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-nifty500-multicap-momentum-quality-50-etf,EMULTIMQ,,INF754K01TF1,07-11-2024,31.1,0.31,0.47,-0.59,1.05
NSE,EQUITY,BROADER,Nifty LargeMidCap 250,Edelweiss Mutual Fund,Edelweiss Nifty LargeMidcap 250 ETF,Nifty LargeMidcap 250 TRI,https://www.edelweissmf.com/factsheet/factsheets/Exchange-Traded-Funds/Nifty-LargeMidcap-250-ETF.html,ELM250,,INF754K01VV4,09-09-2025,80.2,1.09,0.06,0.04,0.21
NSE,EQUITY,SECTORAL,BANK,Edelweiss Mutual Fund,Edelweiss Nifty Bank ETF,Nifty Bank TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-nifty-bank-etf,EBANKNIFTY,,INF754K01TE4,18-12-2015,4.89,0.04,0.04,-0.17,9.98
