etf_id,assetid,subclassid,sub_subclassid,amcid,ETF,SYMBOL,isin_code,Holding,Amount,,
17,1,3,26,2,SBI BSE PSU Bank ETF,SBIBPB,INF200KB1712,State Bank of India,24.64,Large Cap,78.67
17,,,,,,,INF200KB1712,Bank of Baroda,16.47,Mid Cap,18.71
17,,,,,,,INF200KB1712,Canara Bank,15.54,Small Cap,1.17
17,,,,,,,INF200KB1712,Punjab National Bank,13.1,,
17,,,,,,,INF200KB1712,Indian Bank,9.3,,
17,,,,,,,INF200KB1712,Union Bank of India,8.92,,
17,,,,,,,INF200KB1712,Bank of India,5.52,,
17,,,,,,,INF200KB1712,Bank of Maharashtra,2.75,,
17,,,,,,,INF200KB1712,Central Bank of India,1.17,,
17,,,,,,,,Indian Overseas Bank,1.14,,
18,1,4,71,15,Motilal Oswal BSE Quality ETF,MOQUALITY,INF247L01BH8,HCL Technologies Ltd,6.56,Large Cap,59.32
18,,,,,,,INF247L01BH8,Nestle India Ltd.,6.26,,
18,,,,,,,INF247L01BH8,Infosys Ltd,6.24,,
18,,,,,,,INF247L01BH8,Hero MotoCorp Limited,6.1,,
18,,,,,,,INF247L01BH8,Tata Consultancy Services Ltd.,6.1,,
18,,,,,,,INF247L01BH8,Coal India Limited,6.03,,
18,,,,,,,INF247L01BH8,ITC Ltd,5.77,,
18,,,,,,,INF247L01BH8,Britannia Industries Ltd.,5.76,,
18,,,,,,,INF247L01BH8,Hindustan Aeronautics Limited,5.7,,
18,,,,,,,INF247L01BH8,Cummins India Ltd.,4.8,,
19,1,4,69,8,Mirae Asset BSE Select IPO,SELECTIPO,INF769K01ON4,PB Fintech Limited,5.13,Mid Cap,16.67
19,,,,,,,INF769K01ON4,Jio Financial Services Limited,5.1,Large Cap,21.3
19,,,,,,,INF769K01ON4,Max Healthcare Institute Limited,5.08,,
19,,,,,,,INF769K01ON4,Eternal Limited,4.78,,
19,,,,,,,INF769K01ON4,One 97 Communications Limited,4.75,,
19,,,,,,,INF769K01ON4,FSN E-Commerce Ventures Limited,3.62,,
19,,,,,,,INF769K01ON4,HYUNDAI MOTOR INDIA LIMITED,3.17,,
19,,,,,,,INF769K01ON4,Lodha Developers Limited,3.17,,
19,,,,,,,INF769K01ON4,SWIGGY LIMITED,3.17,,
19,,,,,,,INF769K01ON4,Vishal Mega Mart Limited,,,
20,1,1,5,25,DSP BSE SENSEX Next 30 ETF,NEXT30ADD,INF740KA1VE5,Shriram Finance Limited,5.4,Large Cap,41.72
20,,,,,,,INF740KA1VE5,Hindalco Industries Ltd.,4.96,,
20,,,,,,,INF740KA1VE5,JSW Steel Limited,4.21,,
20,,,,,,,INF740KA1VE5,Grasim Industries Ltd,4.2,,
20,,,,,,,INF740KA1VE5,Bajaj Auto Limited,4.07,,
20,,,,,,,INF740KA1VE5,Vedanta Limited,3.95,,
20,,,,,,,INF740KA1VE5,Eicher Motors Ltd.,3.91,,
20,,,,,,,INF740KA1VE5,Jio Financial Services Limited,3.79,,
20,,,,,,,INF740KA1VE5,Oil And Natural Gas Corporation Ltd,3.65,,
20,,,,,,,INF740KA1VE5,Nestle India Ltd.,3.58,,
21,1,1,5,19,Nippon India BSE Sensex Next 30 ETF,SNXT30BEES,INF204KC1EZ3,Shriram Finance Limited,5.4,Large Cap,41.72
21,,,,,,,INF204KC1EZ3,Hindalco Industries Ltd.,4.96,,
21,,,,,,,INF204KC1EZ3,JSW Steel Limited,4.21,,
21,,,,,,,INF204KC1EZ3,Grasim Industries Ltd,4.2,,
21,,,,,,,INF204KC1EZ3,Bajaj Auto Limited,4.07,,
21,,,,,,,INF204KC1EZ3,Vedanta Limited,3.95,,
21,,,,,,,INF204KC1EZ3,Eicher Motors Ltd.,3.91,,
21,,,,,,,INF204KC1EZ3,Jio Financial Services Limited,3.79,,
21,,,,,,,INF204KC1EZ3,Oil And Natural Gas Corporation Ltd,3.65,,
21,,,,,,,INF204KC1EZ3,Nestle India Ltd.,3.58,,
22,1,1,18,20,UTI BSE Sensex Next 50 ETF,UTISXN50,INF789F1AUU3,Vedanta Limited,3.66,Large Cap,22.98
22,,,,,,,INF789F1AUU3,TVS Motor Company Ltd.,3.12,Mid Cap,5.04
22,,,,,,,INF789F1AUU3,Divi's Laboratories Ltd.,2.94,,
22,,,,,,,INF789F1AUU3,HDFC LIFE INSURANCE COMPANY LIMITED,2.91,,
22,,,,,,,INF789F1AUU3,Hero MotoCorp Limited,2.7,,
22,,,,,,,INF789F1AUU3,Bharat Petroleum Corpn. Ltd.,2.7,,
22,,,,,,,INF789F1AUU3,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,2.58,,
22,,,,,,,INF789F1AUU3,Britannia Industries Ltd.,2.56,,
22,,,,,,,INF789F1AUU3,Persistent Systems Limited,2.46,,
22,,,,,,,INF789F1AUU3,Varun Beverages Limited,2.39,,
23,1,1,18,19,Nippon India ETF BSE Sensex Next 50,SNXT50BEES,INF204KB15D0,Vedanta Limited,3.66,Large Cap,22.97
23,,,,,,,INF204KB15D0,TVS Motor Company Ltd.,3.12,Mid Cap,5.04
23,,,,,,,INF204KB15D0,Divi's Laboratories Ltd.,2.93,,
23,,,,,,,INF204KB15D0,HDFC LIFE INSURANCE COMPANY LIMITED,2.91,,
23,,,,,,,INF204KB15D0,Hero MotoCorp Limited,2.7,,
23,,,,,,,INF204KB15D0,Bharat Petroleum Corpn. Ltd.,2.7,,
23,,,,,,,INF204KB15D0,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,2.58,,
23,,,,,,,INF204KB15D0,Britannia Industries Ltd.,2.56,,
23,,,,,,,INF204KB15D0,Persistent Systems Limited,2.46,,
23,,,,,,,INF204KB15D0,Varun Beverages Limited,2.39,,
24,1,1,18,2,SBI ETF Sensex Next 50,SETFSN50,INF200KA1VQ2,Vedanta Limited,3.66,Large Cap,22.98
24,,,,,,,INF200KA1VQ2,TVS Motor Company Ltd.,3.12,Mid Cap,5.04
24,,,,,,,INF200KA1VQ2,Divi's Laboratories Ltd.,2.94,,
24,,,,,,,INF200KA1VQ2,HDFC LIFE INSURANCE COMPANY LIMITED,2.91,,
24,,,,,,,INF200KA1VQ2,Hero MotoCorp Limited,2.7,,
24,,,,,,,INF200KA1VQ2,Bharat Petroleum Corpn. Ltd.,2.7,,
24,,,,,,,INF200KA1VQ2,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,2.58,,
24,,,,,,,INF200KA1VQ2,Britannia Industries Ltd.,2.56,,
24,,,,,,,INF200KA1VQ2,Persistent Systems Limited,2.46,,
24,,,,,,,INF200KA1VQ2,Varun Beverages Limited,2.39,,
25,4,9,,24,Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,GSEC10ABSL,INF209KC1142,6.48% Govt Stock 2035,97.54,,
25,,,,,,,INF209KC1142,Cash & Current Assets,2.46,,
26,4,9,,24,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,ABGSEC,INF209KC1134,7.3% Govt Stock 2053,19.03,,
26,,,,,,,INF209KC1134,7.04% Govt Stock 2029,19.01,,
26,,,,,,,INF209KC1134,7.32% Govt Stock 2030,19.01,,
26,,,,,,,INF209KC1134,7.18% Govt Stock 2037,18.82,,
26,,,,,,,INF209KC1134,6.48% Govt Stock 2035,13.38,,
26,,,,,,,INF209KC1134,6.79% Govt Stock 2034,6.53,,
